state,x,y
Alabama,125,-95
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-324,13
Colorado,-106,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,79,37
Indiana,123,39
Iowa,38,65
Kansas,-17,5
Kentucky,129,-10
Louisiana,69,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,138,101
Minnesota,10,135
Mississippi,94,-78
Missouri,49,6
Montana,-141,150
Nebraska,-61,66
Nevada,-267,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-43
New York,236,104
North Carolina,239,-22
North Dakota,-69,158
Ohio,176,52
Oklahoma,-30,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-69,109
Tennessee,111,-38
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,12
Washington,-287,193
West Virginia,200,20
Wisconsin,58,113
Wyoming,-144,90
